2018-05-17 13:22:47,025 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 13:22:47,025 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/test/resources
2018-05-17 13:23:07,086 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 13:23:07,087 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/main/resources
2018-05-17 13:23:07,088 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 13:23:07,088 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/test/resources
2018-05-17 13:23:41,091 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 13:23:41,092 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/main/resources
2018-05-17 13:23:41,094 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 13:23:41,095 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/test/resources
2018-05-17 13:29:44,989 [DefaultMetadataResolver-0-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/javax/j2ee/j2ee/maven-metadata.xml
2018-05-17 13:29:45,184 [DefaultMetadataResolver-0-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/javax/j2ee/j2ee/maven-metadata.xml
2018-05-17 13:29:45,925 [DefaultMetadataResolver-0-0] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.repository.redhat.com/ga/javax/j2ee/j2ee/maven-metadata.xml
2018-05-17 13:29:46,922 [Worker-40] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.repository.redhat.com/ga/javax/j2ee/j2ee/1.4/j2ee-1.4.pom
2018-05-17 13:29:47,097 [Worker-40] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/javax/j2ee/j2ee/1.4/j2ee-1.4.pom
2018-05-17 13:29:47,344 [Worker-40] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/javax/j2ee/j2ee/1.4/j2ee-1.4.pom
2018-05-17 13:29:48,115 [Worker-40] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.repository.redhat.com/ga/javax/j2ee/j2ee/1.4/j2ee-1.4.jar
2018-05-17 13:29:48,292 [Worker-40] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/javax/j2ee/j2ee/1.4/j2ee-1.4.jar
2018-05-17 13:29:48,324 [Worker-40] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ar.edu.utn.frre.tpidacs:tpidacs:1.0-SNAPSHOT @ /home/wenceslao1207/Documents/mvn/tpidacs/pom.xml.
2018-05-17 13:36:01,072 [Worker-39] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ar.edu.utn.frre.tpidacs:tpidacs:1.0-SNAPSHOT @ /home/wenceslao1207/Documents/mvn/tpidacs/pom.xml.
2018-05-17 13:36:07,062 [Worker-43] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-05-17 13:36:07,093 [Worker-43] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ar.edu.utn.frre.tpidacs:tpidacs:1.0-SNAPSHOT @ /home/wenceslao1207/Documents/mvn/tpidacs/pom.xml.
2018-05-17 13:36:07,149 [Worker-43] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2018-05-17 13:37:04,212 [Worker-44] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-05-17 13:37:04,235 [Worker-44] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ar.edu.utn.frre.tpidacs:tpidacs:1.0-SNAPSHOT @ /home/wenceslao1207/Documents/mvn/tpidacs/pom.xml.
2018-05-17 13:37:04,277 [Worker-44] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2018-05-17 13:43:44,808 [Worker-45] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.repository.redhat.com/ga/junit/junit/3.8.1/junit-3.8.1-sources.jar
2018-05-17 13:43:45,760 [Worker-45] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/junit/junit/3.8.1/junit-3.8.1-sources.jar
2018-05-17 13:43:46,284 [Worker-45] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/junit/junit/3.8.1/junit-3.8.1-sources.jar
2018-05-17 13:43:46,337 [Worker-45] INFO  o.e.m.j.internal.DownloadSourcesJob - Downloaded sources for junit:junit:3.8.1
2018-05-17 14:11:59,435 [main] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ar.edu.utn.frre.tpidacs:tpidacs:1.0-SNAPSHOT @ /home/wenceslao1207/Documents/mvn/tpidacs/pom.xml.
2018-05-17 15:03:41,888 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-05-17 15:11:14,743 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ar.edu.utn.frre.tpidacs:tpidacs:1.0-SNAPSHOT @ /home/wenceslao1207/Documents/mvn/tpidacs/pom.xml.
2018-05-17 15:11:15,034 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 15:11:15,035 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/main/resources
2018-05-17 15:11:15,038 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 15:11:15,039 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/test/resources
2018-05-17 15:11:16,385 [Worker-26] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-05-17 15:11:16,873 [Worker-26] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ar.edu.utn.frre.tpidacs:tpidacs:1.0-SNAPSHOT @ /home/wenceslao1207/Documents/mvn/tpidacs/pom.xml.
2018-05-17 15:11:17,016 [Worker-26] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /tpidacs/src/main/java
2018-05-17 15:11:17,017 [Worker-26] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /tpidacs/src/test/java
2018-05-17 15:11:18,310 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 15:11:18,317 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/main/resources
2018-05-17 15:11:18,329 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 15:11:18,330 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/test/resources
2018-05-17 15:11:19,119 [Worker-26] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2018-05-17 15:11:19,883 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 15:11:19,885 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/main/resources
2018-05-17 15:11:19,887 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 15:11:19,888 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/test/resources
2018-05-17 15:17:12,873 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 15:17:12,874 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/main/resources
2018-05-17 15:17:12,878 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 15:17:12,879 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/test/resources
2018-05-17 15:19:31,115 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-05-17 15:21:52,022 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-05-17 15:32:02,584 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
